Case No,ad_id,terra_indigena,povo,muni,year,report_cat,dem_status,primary_conflict,pc_spec,pc_other,pc_comment,secondary_conflict,sc_spec,sc_other,sc_comment,violence,gov_support,gov_level,gov_spec,counterparty,counterparty_spec,
247,5491,Raposa Serra do Sol,,,2006,3.1,.,4,44,,,9,99,,,2,2,,,9,,
248,5491,Raposa Serra do Sol,,,2006,3.1,.,1,11,,,50,take hostages,,,1,2,,,3,,
249,5491,Raposa Serra do Sol,,,2006,3.1,.,1,99,,,9,99,,,9,2,,,3,,
250,5678,Yanomami,,,2006,3.1,.,4,44,,,1,11,,,9,2,,,3,,
251,5390,Muriru,,,2006,3.1,.,8,50,threats,,9,99,,,9,2,,,3,,
252,.,.,Guarani in Santa Catarina,,2006,3.1,.,4,41,,,9,99,,,1,2,,,3,,
253,5432,Parque do Araguaia,,,2006,3.1,.,4,41|42|44|45,,,1,11,,,9,2,,,3,,
254,5269,Kampa do Rio Amônea,,,2007,3.1,.,4,41,,,3,31,,,2,2,,,2,,
255,5620,Trombetas/Mapuera,,,2007,3.1,.,4,44,,,3,50,airport,,1,2,,,3,,
256,.,.,Maraguá,.,2007,3.1,.,1,11,,,8,50,threats,,1,2,,,3,,
257,5124,Caramuru Catarina Paraguassu,,,2007,3.1,.,1,11,,,1,12,,,9,2,,,2,,
258,.,.,Tupinambá Bahia,.,2007,3.1,.,1,11,,,9,99,,,9,2,,,3,,
259,5179,Governador,,,2007,3.1,.,4,41,,,9,99,,,2,2,,,3,,
260,5048,Araribóia,,,2007,3.1,.,1,12,,,8,50,threats,,9,2,,,3,,
261,.,.,Guajarara,.,2007,3.1,.,2,21,,,3,31,,,1,2,,,3,,
262,5435,Parque Indígena do Xingu,,,2007,3.1,.,2,21,,,9,99,,,9,2,,,3,,
263,5338,Mãe Maria,,,2007,3.1,.,1,12,,,2|4,25|41,,,2,2,,,3,,
264,5010,Alto Rio Guamá,,,2007,3.1,.,1,11|12,,,7,73,,,9,2,,,3,,
265,5529,Roosevelt,,,2007,3.1,.,4,44,,,1,11,,,9,3,,,3,,
266,5491,Raposa Serra do Sol,,,2007,3.1,.,1,50,invasion for undesired trade,,4,50,trade catlle without paying,,2,2,,,3,,
267,5491,Raposa Serra do Sol,,,2007,3.1,.,1,11,,,9,99,,,2,1,2,,1|2|3,,
268,5030,Apinayé,,,2007,3.1,.,2,21,,,1,12,,,1,1,3,,1|3,,
269,5124,Caramuru Catarina Paraguassu,,,2006,3.2,.,4,41,,,1,11,,,9,1,1,,1|3,,
270,.,.,Tupinambá,.,2006,3.2,.,4,41,,,6,66,,,9,2,,,2|3,,
271,5327,Lagoa Encantada,,,2006,3.2,.,2,25,fish are dying,,9,99,,,2,3,,,9,,
272,5020,Anacé,,,2006,3.2,.,4,50,water was bypassed,,9,99,,,2,2,,,3,,
273,5020,Anacé,,,2006,3.2,.,4,44,,,9,99,,,2,2,,,3,,
274,5020,Anacé,,,2006,3.2,.,3,33,,,1|2|4,11|21||25|44,,,9,3,,,9,,
275,5020,Anacé,,,2006,3.2,.,2,25,,,4,41,,,9,3,,,2,,
276,5020,Anacé,,,2006,3.2,.,2,25,,,4,41,,,1,3,,,9,,
277,5020,Anacé,,,2006,3.2,.,3,50,industry,,1,11,,,9,3,,,2|9,,
278,5806,Xacriabá ,,,2006,3.2,.,3,33,,,2,24,,,9,3,,,3,,
279,5364,Maxacali,,,2006,3.2,.,4,41,,,9,99,,,2,2,,,3,,
280,5150,Enawenê-Nawê,,,2006,3.2,.,4,41,,,7,71,,,9,3,,,1|3,Funai did nothing,
281,5051,Areões,,,2006,3.2,.,2,25,,,6,67,,,9,2,,,3,,
282,5051,Areões,,,2006,3.2,.,2,25,,,1,12,,,9,2,,,3,,
283,5381,Munduruku,,,2006,3.2,.,2,25,,,4,44,,,9,3,,,3,,
284,5598,Tembé,,,2006,3.2,.,4,41,,,6,50,indigenous capture illegal farmers,,9,2,,,3,,
285,5480,Potiguara - Monte Mor,,,2006,3.2,.,4,41,,,9,99,,,2,2,,,3,,
286,5084,Boa Vista,,,2006,3.2,.,2,25,,,5,50,health problems,,2,2,,,3,,
287,5223,Inãwébohona,,,2006,3.2,.,2,25,,,5,50,health problems,,2,2,,,9,,
288,5286,Katukina/Kaxinawá,,,2007,3.2,.,4,42,,,4,41,,,2,2,,,9,,
289,.,.,Parintintin,.,2007,3.2,.,4,41,,,9,99,,,9,3,,,9,,
290,.,.,Parintintin,.,2007,3.2,.,2,25,,,5,50,health problems,,2,3,,,9,,
291,5466,Pitaguary,,,2007,3.2,.,4,44,,,6,67,,,2,2,,,9,,
292,5148,Dourados,,,2007,3.2,.,4,50,illegal plantation,,2,25,,,2,2,,,3,,
293,5640,Umutina,,,2007,3.2,.,4,43,,,4,50,unfair trade,,2,2,,,3,,
294,5435,Parque Indígena do Xingu,,,2007,3.2,.,4,41,,,9,99,,,9,2,,,2|3,,
295,5038,Apyterewa,,,2007,3.2,.,4,41,,,9,9,,,2,2,,,3,,
296,5010,Alto Rio Guamá,,,2007,3.2,.,4,41,,,9,99,,,9,2,,,3,,
297,5338,Mãe Maria,,,2007,3.2,.,4,41,,,1,12,,,9,2,,,3,,
298,5569,Sororó,,,2007,3.2,.,2,21,,,9,99,,,2,2,,,3,,
299,5010,Alto Rio Guamá,,,2007,3.2,.,4,41,,,7,72,,,2,3,,,3,,
300,.,.,Xikrim,.,2007,3.2,.,2,21,,,9,99,,,2,2,,,3,,
301,5432,Parque do Araguaia,,,2007,3.2,.,4,43,,,9,99,,,2,2,,,3,,
302,.,Apolima Arara,Apolima Arara,,2006,1,1,7,73,,,4,41,,,2,2,,,3,,
303,.,.,Pataxó Hã-Hã-Hãe,.,2006,1,2,7,73,,,9,99,,,2,2,,,1,Funai,
304,5139,Coroa Vermelha,,,2006,1,2,1,11,,,7,73,,,2,9,,,3,,
305,.,.,Tupinambá de Olivença,.,2006,1,1,7,73,,,6,63,,,9,2,,,1,Funai,
306,5138,Comboios,,,2006,1,2,7,73,,,7,73,,,2,2,,,1,Funai,
307,.,,Terena,.,2006,1,1,7,73,,,9,99,,,2,2,,,1,Funai,
308,5178,Geralda Toco Preto,,,2006,1,2,1,11,,,7,73,,,2,2,,,1,Funai,
309,5084,Boa Vista,,,2006,1,2,7,73,,,1,11,,,2,2,,,1,Ministério da Justiça,
310,5430,Parati-Mirim,,,2006,1,1,7,73,,,9,99,,,2,2,,,1,,
311,5688,Araponga,,,2006,1,2,7,73,,,9,99,,,2,2,,,1,,
312,5510,Rio dos Índios,,,2006,1,2,7,73,,,9,99,,,2,2,,,1,,
313,5362,Mato Preto,,,2006,1,2,7,73,,,9,99,,,2,2,,,1,,
314,.,.,Guarani,.,2006,1,2,7,73,,,6,63,indigenous have to camp in front of the reservation,,2,2,,,1,,
315,5228,Irapuá,,,2006,1,2,7,73,,,9,99,,,2,2,,,1,Funai,
316,5382,Morro dos Cavalos,,,2006,1,1,7,73,,,7,72,,,2,2,,,1,,
317,5584,Tarumã / Corveta,,,2006,1,2,7,73,,,7,72,,,2,2,,,9,,
318,5378,Morro Alto,,,2006,1,1,7,73,,,9,99,,,2,1,1,Funai supports,9,,
319,5461,Pirai,,,2006,1,1,7,73,,,9,99,,,2,1,1,Funai supports,9,,
320,5457,Pindoty,,,2006,1,1,7,73,,,9,99,,,2,1,1,Funai supports,9,,
321,5612,Toldo Pinhal,,,2006,1,2,7,73,,,9,99,,,2,1,1,Funai supports,9,,
322,5611,Toldo Imbu,,,2006,1,2,7,73,,,5,50,dificult economical situation of indigenous,,2,2,,,1,,
323,5191,Guarani do Araça'i,,,2006,1,1,7,73,,,9,99,,,2,2,,,1,,
324,5452,Piaçaguera,,,2006,1,1,7,73,,,3|4,34|44,,,9,2,,,1,,
325,5219,Ilha do Cardoso,,,2006,1,1,7,73,,,9,99,,,2,2,,,1,Funai,
326,5771,Ribeirão Silveira,,,2006,1,1,7,73,,,9,99,,,2,2,,,1,Funai,
327,.,.,Guarani,,2006,1,1,7,73,,,9,99,,,2,2,,,1,Funai,
328,.,.,Apolima Arara,,2007,1,1,7,73,,,9,99,,,2,2,,,1,"Funai, MPF",
329,.,.,Tumbalalá,,2007,1,1,7,73,,,6,63,,,2,2,,,1,Funai,
330,.,.,Tupinambá,,2007,1,1,7,73,,,6,63,,,2,2,,,1,Funai,
331,5138,Comboios,,,2007,1,1,7,73,,,7,72,,,2,2,,,1,,
332,.,Tembé de Santa Maria do Pará,Tembé de Santa Maria do Pará,.,2007,1,1,7,73,,,9,99,,,2,2,,,1,,
333,.,.,Potiguara,.,2007,1,1,7,73,,,9,99,,,2,2,,,1,,
334,5672,Xetá,,,2007,1,2,7,73,,,9,99,,,2,2,,,1,,
335,5058,Ava-Guarani de Ocoi,,,2007,1,2,7,73,,,9,99,,,2,2,,,1,,
336,5084,Boa Vista,,,2007,1,2,7,73,,,7,72,,,2,2,,,1,,
337,5679,Yvyporã Laranjinha,,,2007,1,2,7,73,,,5,50,"precarious situation of indios: drugs, alcohol, prostitution",,2,2,,,1,,
338,5712,Estiva,,,2007,1,1,7,73,,,5,50,"precarious situation of indios: drugs, alcohol, prostitution",,2,2,,,1,,
339,5122,Capivari,,,2007,1,1,7,73,,,5,50,"precarious situation of indios: drugs, alcohol, prostitution",,2,2,,,1,,
340,.,.,Guarani,.,2007,1,1,7,73,,,5,50,"precarious situation of indios: drugs, alcohol, prostitution",,2,2,,,1,,
341,5378,Morro Alto,,,2007,1,1,7,73,,,7,72,,,2,2,,,1|4,,
342,5382,Morro dos Cavalos,,,2007,1,1,7,73,,,9,99,,,2,2,,,1,,
343,5197,Gua-y-viri,,,2007,1,1,7,73,,,9,99,,,2,2,,,1,,
344,5507,Rio Branquinho de Cananeia,,,2007,1,1,7,73,,,9,99,,,2,2,,,1,,
345,.,.,Guarani,.,2007,1,1,7,73,,,9,99,,,2,2,,,1,,
346,5457,Pindoty,,,2007,1,1,7,73,,,9,99,,,2,2,,,1,,
347,5084,Boa Vista,,,2007,1,1,7,73,,,9,99,,,2,2,,,1,,
348,.,Pataxó,Pataxó,.,2008,2,.,1,12,,,6,63,,,9,2,,,2,,
349,5631,Tupinambá de Olivença,,,2008,2,.,1,12,,,9,99,,,1,1,4,,1|3,,
350,5614,Tremembé de Almofala,,,2008,2,.,3,34,,,9,99,,,2,3,,,2,,
351,5580,Tapeba,,,2008,2,.,7,72,,,7,73,,,9,1,3,,1,,
352,5020,Anacé,,,2008,2,.,3,50,harbour,,2,25,,,9,3,,,9,,
353,5466,Pitaguary,,,2008,2,.,1,12,,,7,72,,,9,3,,,9,,
354,5309,Krikati,,,2008,2,.,1,12,,,7,73,,,9,3,,,1|3,,
355,5453,Pilad Rebuá,,,2008,2,.,1,12,,,9,99,,,1,1,2|3,,1|3,,
356,5350,Marãiwatsedé (Suyamisu),,,2008,2,.,6,63,,,7,73,,,1,1,1,,1|3,,
357,5038,Apyterewa,,,2008,2,.,1,11|12,,,7,73,,,1,1,2|3,,1|3,,
358,.,.,Povo sem contato,.,2008,2,.,3,33,,infrastructure was authorized by indigenous settelments were previously unknown,2,25,,,2,1,1|2,,,,
359,5645,Uru-Eu-Wau-Wau,,,2008,2,.,3,31,,,9,99,,,2,1,3,,1,,
360,.,.,Cassupá | Salamãi,.,2008,2,.,3,33,,infrastructure was authorized,2,50,destruction of sacred ground,,2,3,,,9,,
361,.,.,Arara | Arikapú | Aruá | Gavião | Kanoé | Karitina | Kaxarari | Kwazá | Makurap | Tupari,,2008,2,.,7,72,,,1,11|12,,,9,3,,,1|3,,
362,.,Kujubim,Kujubim,.,2008,2,.,1,11,,,7,73,,,9,3,,,1|3,,
363,5382,Morro dos Cavalos,,,2008,2,.,1,14,,,7,71,,,9,3,,,1|2|3,,
364,5045,Arara do Rio Amônia,,,2008,3,.,4,41,,,4,50,animals,,1,2,,,3,,
365,5312,Kulina do Rio Envira,,,2008,3,.,4,41,,,4,42,,,1,2,,,3,,
366,5650,Valparaiso,,,2008,3,.,4,41,,,9,99,,,9,2,,,3,,
367,5695,Barra Velha,,,2008,3,.,4,50,eucalyptus plantation,,9,99,,,2,2,,,3,,
368,5124,Caramuru Catarina Paraguassu,,,2008,3,.,1,12,,,4,50,cattle,,1,2,,,9,,
369,5327,Lagoa Encantada,,,2008,3,.,4,50,water,,2,25,,,9,2,,,2,,
370,5138,Comboios,,,2008,3,.,4,41,,,2,24,,,2,2,,,2|3,,
371,5128,Caru,,,2008,3,.,4,41,,,3,31,,,9,2,,,3,,
372,5048,Araribóia,,,2008,3,.,4,41,,,1,12,,,1,2,,,3,,
373,5103,Cachoeirinha,,,2008,3,.,1,11,,,9,99,,,9,2,,,3,,
374,5265,Kadiwéu,,,2008,3,.,4,41,,,4,50,coal production,,9,3,,,2,,
375,5585,Taunay-Ipegue,,,2008,3,.,4,41,,,4,50,coal production,,2,2,,,3,,
376,5648,Vale do Guaporé,,,2008,3,.,4,41,,,9,99,,,9,1,4,,1|4,,
377,5152,Erikpatsá,,,2008,3,.,4,43,,,4,41|44,,,9,2,,,3,,
378,5150,Enawenê-Nawê,,,2008,3,.,2,25,,,9,99,,,2,2,,,3,,
379,5474,Portal do Encantado,,,2008,3,.,2,25,,,4,41,,,2,2,,,3,,
380,5640,Umutina,,,2008,3,.,2,25,,,9,99,,,2,3,,,2|3,,
381,5642,Urubu Branco,,,2008,3,.,1,12,,,7,73,,,9,3,,,3,,
382,5255,Jarudore,,,2008,3,.,1,11,,,3,34,,,1,3,,,3,,
383,5010,Alto Rio Guamá,,,2008,3,.,1,11,,,4,41|42|44,,,9,1,2,,1|3,,
384,5673,Xikrin do Rio Catete,,,2008,3,.,4,41,,,2,25,,,9,3,,,9,,
385,5598,Tembé,,,2008,3,.,4,41,,,3,31,,,2,3,,,1|3,,
386,5123,Capoto / Jarina,,,2008,3,.,1,11|12,,,9,99,,,2,3,,,3,,
387,5084,Boa Vista,,,2008,3,.,2,25,,,9,99,,,2,2,,,3,,
388,.,Camboinhas,Guarani,.,2008,3,.,2,21,,,9,99,,,1,2,,,2|3,,
389,5282,Karipuna,,,2008,3,.,4,41,,,1,11,,,2,1,1,,1|3,,
390,5514,Rio Guaporé,,,2008,3,.,4,44,,,9,99,,,1,2,,,2|3,,
391,5773,Rio Cautário,,,2008,3,.,2,23,,,9,99,,,1,1,1,,1,soldiers destroyed houses,
392,5514,Rio Guaporé,,,2008,3,.,1,11,,,4,50,stealing,,1,2,,,3,,
393,5505,Rio Branco,,,2008,3,.,3,33,,authorized hydroelectric,2,25,,,9,1,4,,1|2,,
394,.,.,Miqueleno,.,2008,3,.,1,11|12,,,9,99,,,1,2,,,3,,
395,5486,Puroborá,,,2008,3,.,4,41,,,3,31,authorized road,,9,1,1,,1,,
396,.,.,Wayurú,.,2008,3,.,1,11,,,9,99,,,9,1,2,,1,,
397,5678,Yanomami,,,2008,3,.,4,44,,,2,25,,,1,2,,,3,,
398,5678,Yanomami,,,2008,3,.,4,44,,,1,11,,,1,2,,,3,,
399,5657,Votouro,,,2008,3,.,3,33,,,7,72,,,9,1,1,,1|2,,
400,5461,Pirai,,,2008,3,.,7,73,,,1,12,,,9,3,,,1|3,,
401,5382,Morro dos Cavalos,,,2008,3,.,4,41,,,9,99,,,2,2,,,9,,
402,5432,Parque do Araguaia,,,2008,3,.,4,43,,,3,31|50,airport,,2,2,,,3,,
403,5223,Inãwébohona,,,2008,3,.,4,43,,,9,99,,,2,2,,,3,,
404,5030,Apinayé,,,2008,3,.,4,41,,,9,99,,,2,2,,,3,,
405,5736,Kalankó,,,2008,1,9,6,63,,,8,50,threats to be banned from land,,1,3,,,3,,
406,5631,Tupinambá de Olivença,,,2008,1,2,7,73,,,6,67,,,1,2,,,1,,
407,.,Pataxó,Pataxó,.,2008,1,1,6,64,,,9,99,,,9,2,,,1,,
408,5702,Carretão,,,2008,1,2,7,73,,,1,11,,,2,2,,,1|3,,
409,.,Cabixi,Nambikwara-Mamaide,.,2008,1,1,7,73,,,1|2|4,11|23|25|41|43,,,9,3,,,3,,
410,5079,Batelão,,,2008,1,2,7,73,,,1|2|4,11|23|25|41|43,,,1,3,,,3,,
411,.,Pontal,Apiaká,.,2008,1,9,7,73,,,3|4,50|42,houses,,9,3,,,3,,
412,.,Pontal do Encantado,Chiquitano,.,2008,1,2,7,72,,,1,11|12,,,9,3,,,1|3,,
413,5603,Tereza Cristina,,,2008,1,2,7,73,,,7,72,,,2,2,,,1,Funai,
414,5370,Menkü,,,2008,1,2,7,50,"in the demarcation process areas were ""forgotten""",,3,39,,,2,2,,,1,Funai,
415,5287,Kawahiva do Rio Pardo,,,2008,1,1,7,73,,,9,99,,,2,2,,,1,Funai,
416,5038,Apyterewa,,,2008,1,2,1,11,,,4,44,,,1,1,1|2|3,,1,Funai,
417,5058,Ava-Guarani de Ocoi,,,2008,1,2,7,50,want revision of the borders of demarcation,,9,99,,,2,2,,,1,Funai,
418,5084,Boa Vista,,,2008,1,2,7,73,,,6,63,,,9,3,,,1,Funai,
419,5732,Ka'aguy Guaxy-Palmital,,,2008,1,2,7,73,,,9,99,,,2,2,,,1,Funai,
420,5362,Mato Preto,,,2008,1,2,6,63,forced to take land because demarcation is not progressing,,7,73,,,2,2,,,1,Funai,
421,.,Lejeado do Bugre,Kaingang,.,2008,1,2,3,50,airport,,7,73,,,2,3,,,1,Funai,
422,5266,Kaingang de Iraí,,,2008,1,2,3,50,airport,,7,72,,,2,3,,,1,Funai,
423,5437,Passo Grande do Rio Forquilha,,,2008,1,1,7,73,,,6,63,forced to take land because demarcation is not progressing,,2,2,,,1,Funai,
424,5228,Irapuá,,,2008,1,1,7,73,,,1,11,,,9,2,,,1,Funai,
425,.,Parque do Itapua,Guarani,.,2008,1,2,7,73,,,5,50,retention of financial ressources for support of the indigenous groups,,2,2,,,1,,
426,5381,Morro do Osso,,,2008,1,1,6,63,,,3|7,34|73,,,2,1,,,1,Funai,
427,5122,Capivari,,,2008,1,1,7,73,,,6,63,forced to take land because demarcation is not progressing,,2,2,,,1,Funai,
428,5712,Estiva,,,2008,1,1,7,73,,,9,99,,,2,2,,,1,Funai,
429,5436,Passo Grande,,,2008,1,1,7,73,,,6,63,forced to take land because demarcation is not progressing,,2,2,,,1,Funai,
430,5120,Cantagalo,,,2008,1,2,7,73,,retention of financial ressources for support of the indigenous groups,9,99,,,2,2,,,1,Funai,
431,5747,Lami,,,2008,1,1,7,73,,,6,63,forced to take land because demarcation is not progressing,,2,2,,,1,Funai,
432,.,Acampamento Xingu,Kaingang,.,2008,1,1,7,73,,,6,63,forced to take land because demarcation is not progressing,,2,2,,,1,Funai,
433,5361,Mato Castelhano,,,2008,1,1,7,73,,,6,63,forced to take land because demarcation is not progressing,,2,2,,,1,Funai,
434,5104,Cacique Doble,,,2008,1,2,7,73,,,9,99,,,2,2,,,1,Funai,
435,.,.,Cassupá | Kujubim | Miqueleno | Purubora | Salamãi | Wayurú,.,2008,1,1,7,73,,,1,11,,,1,2,,,1,Funai,
436,5378,Morro Alto,,,2008,1,1,6,63,,,7,73,,,1,2,,,1,Funai,
437,5584,Tarumã / Corveta,,,2008,1,1,6,67,,sent protest card to Funai chief,7,73,,,2,2,,,1,Funai,
438,5357,Massiambu,,,2008,1,1,6,67,,sent protest card to Funai chief,7,73,,,2,2,,,1,Funai,
439,5701,Cambirela,,,2008,1,1,6,67,,sent protest card to Funai chief,7,73,,,2,2,,,1,Funai,
440,5461,Pirai,,,2008,1,1,6,67,,sent protest card to Funai chief,7,73,,,2,2,,,1,Funai,
441,5276,Karajá de Aruanã,,,2008,1,1,7,73,,,1,11,,,1,2,,,1,Funai,
442,5045,Arara do Rio Amônia,,,2009,1,1,7,73,,,6,67,,,2,2,,,1,Funai,
443,5664,Wassu Cocal,,,2009,1,1,7,73,,,9,99,,,2,2,,,1,Funai,
444,.,Katokim,Katokim,.,2009,1,1,7,73,,,5,50,dificult economical situation of indigenous,,2,2,,,1,Funai,
445,5283,Kariri-Xocó,,,2009,1,1,7,73,,,6,67,road block,,2,2,,,1,Department of Justice,
446,5626,Tumbalalá,,,2009,1,1,7,73,,,50,33,hydroelectric dam was authorized,,2,2,,,1|2,,
447,.,Kanindé,Genipapo Kanindé,.,2009,1,1,7,73,,,9,99,,,2,2,,,1|2,,
448,5742,Kayabi,,,2009,1,1,7,73,,,7,72,farmers enter trial against demarcation,,2,2,,,1|3,,
449,.,Jarudori,Bororo,.,2009,1,1,1,11,,invasion supported by government,7,73,,,1,1,2,,1|3,,
450,5350,Marãiwatsedé,,,2009,1,1,7,73,,,1,11|23|25|41|43,,,1,2,,,1|2|3,,
451,5603,Tereza Cristina,,,2009,1,1,7,73,,,9,99,,,9,3,,,9,,
452,5148,Dourados,,,2009,1,2,1,11,,,7,72|73,,,9,3,,,1|2|3,,
453,5097,Buriti,,,2009,1,1,6,67,,,7,73,,,2,1,1,Funai supports indigenous,1,federal judge,
454,5806,Xacriabá ,,,2009,1,1,7,73,,,8,81|83|86,,,9,2,,,1|3,,
455,5102,Cachoeira Seca,,,2009,1,2,7,50,territory was constantly diminished,,1|3,11|31,,,9,2,,,1|3,,
456,5751,Maró,,,2009,1,2,4,41,,,7,73,,,2,1,2,ministry of environment is suspected to tolerate illegal extraction of wood,1|3,,
457,5084,Boa Vista,,,2009,1,1,7,73,,,1,11,,,2,2,,,1,,
458,5672,Xetá,,,2009,1,1,7,73,,,9,99,,,2,2,,,1,,
459,5104,Cacique Doble,,,2009,1,2,6,67,,,1,11,,,9,2,,,1|3,,
460,.,Kandóia,Kaingang,.,2009,1,1,7,73,,,9,99,,,2,2,,,1,,
461,5362,Mato Preto,,,2009,1,1,7,73,,,5,50,dificult economical situation of indigenous,,2,2,,,1,,
462,5437,Passo Grande do Rio Forquilha,,,2009,1,2,7,73,,,9,99,,,2,2,,,1,"Funai, Ministry of Justice",
463,5122,Capivari,,,2009,1,1,7,73,,,5,50,dificult economical situation of indigenous,,2,2,,,1,,
464,5228,Irapuá,,,2009,1,1,7,73,,,5,50,dificult economical situation of indigenous,,2,2,,,1,,
465,5712,Estiva,,,2009,1,1,7,73,,,5,50,dificult economical situation of indigenous,,2,2,,,1,,
466,5747,Lami,,,2009,1,1,7,73,,,5,50,dificult economical situation of indigenous,,2,2,,,1,,
467,.,Catagalo,Guarani,.,2009,1,1,7,73,,,5,50,dificult economical situation of indigenous,,2,2,,,1,,
468,5381,Morro do Osso,,,2009,1,1,7,73,,,3|5,34|50,dificult economical situation of indigenous,,2,2,,,1,,
469,5701,Cambirela,,,2009,1,1,7,73,,,1|3|5,11|34|50,dificult economical situation of indigenous,,2,2,,,1|3,,
470,5357,Massiambu,,,2009,1,1,7,73,,,5,50,dificult economical situation of indigenous,,2,2,,,1,,
471,5807,Ygua Porã / Yakã Porã,,,2009,1,1,7,73,,,5,50,dificult economical situation of indigenous,,2,2,,,1,,
472,.,Reita / Itaju,Guarani M'Byá,.,2009,1,1,7,73,,,5,50,dificult economical situation of indigenous,,2,2,,,1,,
473,.,M'Byguaçu,Guarani M'Byá,.,2009,1,2,7,73,,,1|3,11|12|31,,,2,2,,,1,,
474,5612,Toldo Pinhal,,,2009,1,2,7,50,territory was constantly diminished,,7,73,,,2,2,,,1,,
475,.,Various: Terras in São Paulo,Guarani,.,2009,1,1,7,73,,,9,99,,,2,2,,,1,,
476,5642,Urubu Branco,,,2009,2,.,1,11|12,,,8,81,,,9,2,,,3,,
477,5474,Portal do Encantado,,,2009,2,.,7,71,,,7,73,,,2,1,3,,1,,
478,5042,Arara,,,2009,2,.,1,11,,,2,23,,,2,1,3,,3,,
479,5010,Alto Rio Guamá,,,2009,2,.,1,11,,,7,73,,,2,1,3,,3,,
480,5421,Pankararu de Araçuai,,,2009,2,.,7,73,,,1,12,,,2,2,,,3,,
481,.,Serra Negra,Kambiwá | Pipipã,.,2009,2,.,5,50,indigenous holy places were declared a biological reserve; access was restricted,,9,99,,,2,1,4,,1,,
482,5151,Entre Serras,,,2009,2,.,1,12,,,7,73,,,2,2,,,3,,
483,5510,Rio dos Índios,,,2009,2,.,6,67,,,7,73,,,2,2,,,1,,
484,5657,Votouro,,,2009,2,.,6,67,,,9,99,,,1,2,,,1,,
485,5015,Alto Turiaçu,,,2009,3,.,4,44,,,1,11,,,9,3,,,9,,
486,5015,Alto Turiaçu,,,2009,3,.,4,50,plantation,,9,99,,,2,2,,,3,,
487,5015,Alto Turiaçu,,,2009,3,.,4,41,,,1,11,,,1,2,,,3,,
488,5020,Anacé,,,2009,3,.,5,50,construction of harbour / authorized,,9,99,,,2,1,1,,1|2,,
489,5048,Araribóia,,,2009,3,.,4,41,,,9,99,,,2,3,,,9,,
490,5048,Araribóia,,,2009,3,.,4,41,,,3,31,,,2,2,,,3,,
491,5059,Awá,,,2009,3,.,4,41,,,1,11,,,1,2,,,3,,
492,5060,Bacurizinho,,,2009,3,.,4,41,,,1,12,,,1,2,,,3,,
493,5117,Cana Brava / Guajajara,,,2009,3,.,4,41,,,9,99,,,1,2,,,4,,
494,5128,Caru,,,2009,3,.,4,41,,,7,73,,,2,2,,,3,,
495,5269,Kampa do Rio Amônea,,,2009,3,.,4,50,cosmetic industry extracts plants and knowledge,,9,99,,,2,3,,,2,,
496,5269,Kampa do Rio Amônea,,,2009,3,.,4,41,,,3,31,,,9,2,,,3,,
497,5559,Serra da Moça,,,2009,2,.,8,50,threats against indios,,1,14,,,9,3,,,3,,
498,5580,Tapeba,,,2009,3,.,2,25,,,9,99,,,2,2,,,2,,
499,.,Various Terras,,,2009,3,.,5,50,state and private infrastructure projects threaten to destroy land,,9,99,,,2,1,1|2|3,,1|2,,
500,.,Various Terras,,,2009,3,.,4,41,,,9,99,,,2,3,,,9,,
501,5435,Parque Indígena do Xingu,,,2009,3,.,4,41,,,9,99,,,2,2,,,3,,
502,5350,Marãiwatsedé,,,2009,3,.,2,23,,,9,99,,,2,2,,,9,,
503,5350,Marãiwatsedé,,,2009,3,.,2,25,,,1,11,,,1,1,2|3,,1|3,,
504,.,Maragatu,Guarani Kaiowá,.,2009,3,.,2,21|23,,farmers stole indigenous goods while leaving the occupation,1,11,,,2,2,,,3,,
505,.,Acampamento Apyka'Y,Guarani Kaiowá,.,2009,3,.,2,21,,,8,81|88,,,1,2,,,3,,
506,5265,Kadiwéu,,,2009,3,.,4,41,,,9,99,,,3,3,,,1|3,,
507,5622,Truká,,,2009,3,.,5,50,state infrastructure project,,2,25,,,3,3,,,1|4,,
508,5459,Pipipã,,,2009,3,.,4,41,,,2,25,,,2,2,,,1|2,,
509,5010,Alto Rio Guamá,,,2009,3,.,4,41,,,1,11,,,3,2,,,3,,
510,5751,Maró,,,2009,3,.,4,41,,,6,67,,,1,1,2,,1|3,,
511,5038,Apyterewa,,,2009,3,.,2,24|25,,,5,50,difficult situation of indigenous,,2,3,,,1|3,,
512,.,Camboinhas,Guarani,",",2009,3,.,2,21,,,9,99,,,1,2,,,4,indigenous,
513,5412,Pacheca,,,2009,3,.,2,22|23|24|25,,,1,11|12,,,2,2,,,3,,
514,5648,Vale do Guaporé,,,2009,3,.,1,11,,,4,41,,,1,2,,,3,,
515,.,Cinta Larga (R.Preto),Cinta Larga,.,2009,3,.,2,23,,,1,13,,,1,1,1,,1,,
516,.,Various Terras,,,2009,3,.,5,50,,authorized hydroelectric,7,71|72,,,2,1,1|2|3,,1,,
517,.,Various Terras,,,2009,3,.,5,50,,authorized roads,7,71|72,,,2,1,1|2|3,,1,,
518,5678,Yanomami,,,2009,3,.,4,44,,,2,25,,,3,3,,,3,,
519,5559,Serra da Moça,,,2009,3,.,2,21|23,,,9,99,,,1,3,,,3,,
520,5559,Serra da Moça,,,2009,3,.,2,23,,,9,99,,,1,3,,,3,,
