terrai_codigo,terrai_nome,municipio_nome,uf_sigla,superficie_perimetro_ha,fase_ti,modalidade_ti,data_em_estudo,tit_em_estudo,data_delimitada,tit_delimitada,data_declarada,tit_declarada,data_homologada,tit_homologada,data_regularizada,tit_regularizada
6801,Borboleta,"Campos Borges, Espumoso, Salto Grande do Jacui                       ",RS,0,Encaminhada RI,Reserva Indígena,12/18/1995,"Portaria nº 1228, de 18 de dezembro de 1995",,,,,,,,
62501,Bragança-Marituba,Belterra                                ,PA,13515,Delimitada,Tradicionalmente ocupada,8/13/2003,Portaria nº 799 de 13 de agosto de 2003,10/29/2009,"Despacho nº 52, de 29 de outubro de 2009",,,,,,
6901,Brejo do Burgo,"Rodelas, Gloria, Paulo Afonso",BA,"179,248,496",Regularizada,Tradicionalmente ocupada,5/24/1991,"Portaria nº 515, de 24 de Maio de 1991",12/6/1991,"Despacho nº 06, de 06 de Dezembro de 1991",5/28/1992,Portaria Declaratória nº 265 de 28/05/92,4/30/2001,Decreto de 30 de abril de 2001,5/21/2002,Matr. R-1-9.937 Lv.2-BA Fl. 52
7001,Buriti,"Dois Irmãos do Buriti, Sidrolandia",MS,"20,901,691",Regularizada,Tradicionalmente ocupada,7/9/1999,"Portaria nº 553, de 9 de julho de 1999",,,,,10/29/1991,"Decreto nº 301, de 29 de outubro de 1991",10/7/1992,Matr. 9.258  Lv. 2  Fl. 01
7002,Buriti,"Dois Irmãos do Buriti, Sidrolandia",MS,17200,Declarada,Tradicionalmente ocupada,11/13/2000,"Portaria nº 1.155, de 14 de novembro de 2000",8/2/2001,"Despacho nº 75, de 02 de agosto de 2001",9/27/2010,"Portaria nº 3079, de 27 de setembro de 2010",,,,
7101,Buritizinho,Sidrolândia                             ,MS,"97,428",Regularizada,Tradicionalmente ocupada,6/7/1999,"Portaria nº 384, de 07 de Junho de 1999",,,,,5/23/1996,Decreto de 23 de maio de 1996,6/10/1996,Matr. 1.800  Lv. 2-RG  Fl. 01
7201,Caarapó,Caarapó                                 ,MS,"35,944,154",Regularizada,Tradicionalmente ocupada,,,,,,,10/29/1991,"Decreto nº 250, de 20 de outubro de 1991",12/17/1991,Matr. 6.594  Lv. -  Fl. 001-002V
7301,Cabeceira do Rio Acre,"Assis Brasil, Sena Madureira",AC,"785,125,834",Regularizada,Tradicionalmente ocupada,10/25/1991,"Portaria nº 1191, de 25 de Outubro de 1991",9/16/1992,"Despacho nº 16, de 16 de Setembro de 1992",11/16/1992,"Portaria nº 548, de 16 de Novembro de 1992",4/14/1998,Decreto de 14 de abril de 1998,6/5/1998,Matr. 2.464  Lv. 2-E  Fl. 429
7401,Cacau do Tarauaca,Envira                                  ,AM,"283,672,948",Regularizada,Tradicionalmente ocupada,3/11/1985,"Portaria nº 1840, de 05 de março de 1985",,,,,10/29/1991,"Decreto nº 272, de 29 de outubro de 1991",10/22/1992,Matr. R-1-171  Lv. 2-A  Fl. 171 e verso
7501,Cachoeira dos Inácios,Imaruí                                  ,SC,80,Regularizada,Reserva Indígena,,,,,,,,,,
7601,Cachoeira Seca,"Altamira, Placas, Uruará                                ",PA,"7,336,882,507",Declarada,Tradicionalmente ocupada,11/18/2004,"Portaria nº 1442, de 18 de novembro de 2004",7/27/1992,"Despacho nº 21, de 27 de julho de 1992",6/30/2008,"Portaria n° 1235, de 30 de junho de 2008",4/4/2016,Decreto de 4 de abril de 2016,,
7702,Cachoeirinha,Miranda                                 ,MS,36288,Declarada,Tradicionalmente ocupada,11/13/2000,"Portaria nº 1.155, de 14 de novembro de 2000",6/9/2003,"Despacho nº 54, de 09 de junho de 2003",4/19/2007,"Portaria n° 791, de 19 de abril de 2007",,,,
7701,Cachoeirinha,Miranda                                 ,MS,"26,581,634",Regularizada,Tradicionalmente ocupada,,,6/9/2003,"Despacho nº 054, de 09 de Junho de 2003",4/19/2007,"Portaria Declaratória nº 791, de 19 de Abril de 2007",,,,
7801,Cacique Doble,"Cacique Doble, São Jose do Ouro",RS,"44,262,833",Regularizada,Tradicionalmente ocupada,,,,,,,3/27/1991,Decreto de 27 de março de 1991,6/5/1991,Matr. 875  Lv. 2-RG  Fl. 01/02
7802,Cacique Doble,"Cacique Doble, São Jose do Ouro",RS,0,Em Estudo,Tradicionalmente ocupada,3/12/2009,"Portaria nº 231, de 12 de março de 2009",,,,,,,,
58701,Cacique Fontoura,"São Félix do Araguaia, Luciara           ",MT,"323,047,226",Declarada,Tradicionalmente ocupada,7/18/2001,"Portaria nº 594, de 18 de Julho de 2001",11/13/2002,"Despacho nº 182, de 13 de novembro de 2002",8/14/2007,"Portaria n° 1389, de 14 de agosto de 2007",,,,
55801,Caiapucá,Boca do Acre                            ,AM,0,Em Estudo,Tradicionalmente ocupada,,,,,,,,,,
7901,Caiçara/Ilha de São Pedro,Porto da Folha                          ,SE,"43,167,768",Regularizada,Tradicionalmente ocupada,8/12/1985,"Portaria nº 1924, de 12 de agosto de 1985",10/14/1991,"Despacho nº 23, de 14 de outubro de 1991",11/25/1991,"Portaria nº 601, de 25 de novembro de 1991",12/24/1991,"Decreto nº 401, de 24 de dezembro de 1991",8/31/1992,Matr. 1-4.685  Lv. 2-U  Fl. 14
59301,Caieiras Velha II,Aracruz                                 ,ES,"573,935",Regularizada,Tradicionalmente ocupada,11/13/2000,"Portaria nº 1156, de 13 de novembro de 2000",7/3/2001,"Despacho nº 64, de 03 de julho de 2001",12/30/2002,"Portaria nº 3007, de 30 de dezembro de 2002",4/19/2004,Decreto de 19 de abril de 2004,6/9/2004,"Matr. 13.384, Lv. 2-AT, Fl. 184"
8101,Caititu,Lábrea                                  ,AM,"3,080,626,156",Regularizada,Tradicionalmente ocupada,6/19/1985,"Portaria nº 1887/E, de 19 de junho de 1985",,,,,10/29/1991,"Decreto nº 282, de 29 de outubro de 1991",3/31/1989,Matr. 1.503  Lv. 2-F  Fl. 192/195
8201,Cajueiro,Amajari                                 ,RR,"43,038,482",Regularizada,Tradicionalmente ocupada,10/8/1980,"Portaria nº 852, de 08 de Outubo de 1980",,,11/6/1981,"Portaria Declaratória nº 1130, de 06 de Novembro de 1981",2/17/1982,"Decreto nº 86932, de 17 de fevereiro de 1982",11/22/1988,Matr. 9.345  Lv. 2/RG  Fl. 01
8301,Cajuhiri Atravessado,Coari                                   ,AM,12500,Declarada,Tradicionalmente ocupada,5/29/2000,"Portaria  nº 420, de 29 de maio de 2000",10/22/2001,"Despacho nº 98, de 22 de outubro de 2001",8/15/2008,"Portaria n° 1487, de 15 de agosto de 2008",12/17/2015,Decreto de 17 de dezembro de 2015,,
8401,Camadeni,Pauini                                  ,AM,"1,509,305,549",Regularizada,Tradicionalmente ocupada,,,11/8/1991,"Despacho nº 25, de 08 de novembro de 1991",5/28/1992,"Portaria Declaratória nº 250, de 28 de maio de 1992",11/3/1997,Decreto de 3 de novembro de 1997,5/17/1999,Matr. 280  Lv. 2-A  Fl. 89
73401,Cambirela,Palhoça                                 ,SC,0,Em Estudo,Tradicionalmente ocupada,5/25/2011,"Portaria nº 798, de 25 de maio de 2011",,,,,,,,
8501,Camicua,Boca do Acre                            ,AM,"585,195,999",Regularizada,Tradicionalmente ocupada,,,,,9/15/1982,"Portaria nº 1410, de 15 de setembro de 1982",12/24/1991,"Decreto de nº 381, 24 de dezembro de 1991",1/22/1992,Matr. 1.766  Lv. 2-G  Fl. 87/88
8601,Campinas/Katukina,Cruzeiro do Sul                         ,AC,"326,236,443",Regularizada,Tradicionalmente ocupada,3/23/1977,Portaria nº 158 de 23 de março de 1977,,,,,8/12/1993,Decreto de 12 de agosto de 1993,7/25/1995,Matr. 76  Lv. 2-A  Fl. 76
72301,Campo Bonito,Torres                                  ,RS,"94,83",Regularizada,Reserva Indígena,,,,,,,,,,
8701,Cana Brava/Guajajara,"Grajaú, Barra do Corda,Jenipapo dos Vieiras",MA,"1,373,295,429",Regularizada,Tradicionalmente ocupada,,,,,,,10/29/1991,"Decreto nº 246, de 29 de outubro de 1991",11/26/1991,Matr. 13.091  Lv. 2-AV  Fl. 08
8801,Canauanim,Cantá                                   ,RR,"111,824,372",Regularizada,Tradicionalmente ocupada,,,9/10/1992,"Despacho nº 29, de 10 de Setembro de 1992",5/21/1982,"Portaria Declaratória nº 1226, de 21 de Maio de 1982",2/15/1996,Decreto de 15 de fevereiro de 1996,4/1/2002,Matr.23.751 Lv. 2-RG Fl. 001
72701,Canelinha,Canelinha                               ,SC,"2,077,552",Regularizada,Reserva Indígena,,,,,,,,,,
8901,Cantagalo,"Viamão, Porto Alegre                       ",RS,"2,836,761",Regularizada,Tradicionalmente ocupada,1/13/1999,"Portaria nº 11, de 13 de janeiro de 1999",5/31/2000,"Despacho nº 26, de 31 de maio de 2000",11/27/2003,"Portaria nº 1958, de 27 de novembro de 2003",10/11/2007,Decreto de 11 de outubro de 2007,9/18/2009,"Reg. CRI Matr. 143.659, Lv. 2-RG, Fls. 1 - 1v - 2"
9001,Capivara,Autazes                                 ,AM,0,Em Estudo,Tradicionalmente ocupada,4/9/1997,"Portaria nº 315, de 09 de Abril de 1997",,,,,,,,
9101,Capivari,Palmares do Sul                         ,RS,"433,215",Regularizada,Tradicionalmente ocupada,10/27/2006,"Portaria n° 1342, de 27 de outubro de 2006",1/25/1999,"Despacho nº 1, de 25 de janeiro de 1999",8/13/1999,"Portaria nº 407, de 13 de agosto de 1999",4/18/2001,Decreto de 18 de abril de 2001,10/11/2002,Matr. 8.329 Lv.2-RG Fl. 01
9201,Capoto/Jarina,"Santa Cruz do Xingú, São Jose do Xingu, Peixoto Azevedo               ",MT,"6,349,152,256",Regularizada,Tradicionalmente ocupada,,,,,,,1/25/1991,Decreto de 25 de janeiro de 1991,7/7/1987,Matr. 1.790  Lv. 2 RG  Fl. 01
9301,Caramuru/Paraguassu,"Camacan, Itaju da Colônia, Pau Brasil                          ",BA,54105,Encaminhada RI,Reserva Indígena,,,,,,,,,,
73723,Carretão,"Nova América, Rubiataba",GO,0,Em Estudo,Tradicionalmente ocupada,2/5/2010,"Portaria nº 151, de 5 de fevereiro de 2010",,,,,,,,
9401,Carretão I,"Nova América, Rubiataba    ",GO,"16,664,512",Regularizada,Tradicionalmente ocupada,,,,,,,1/15/1990,"Decreto nº 98.826, de 15 de janeiro de 1990",11/22/1990,Matr. 4.712  Lv. 2-Q  Fl. 220
9501,Carretão II,Nova América                            ,GO,"775,043",Regularizada,Tradicionalmente ocupada,,,,,,,1/15/1990,"Decreto nº 98.825, de 15 de janeiro de 1990",6/4/1990,Matr. 738  Lv. 2-C  Fl. 35
9601,Carreteiro,Água Santa                              ,RS,"6,029,751",Regularizada,Tradicionalmente ocupada,,,,,,,3/27/1991,Decreto de 27 de março de 1991,5/16/1991,Matr. 8.412  Lv. 2-RG  Fl. 01V
9602,Carreteiro,Água Santa,RS,0,Em Estudo,Tradicionalmente ocupada,7/3/2009,"Portaria nº 687, de 3 de julho de 2009",,,,,,,,
9701,Caru,Bom Jardim                              ,MA,"1,726,673,777",Regularizada,Tradicionalmente ocupada,,,,,8/24/1982,"Portaria Declaratória nº 1368, de 24 de Agosto de 1982",11/22/1982,"Decreto de nº 87843, de 22 de novembro de 1982",3/28/1983,Matr. 70  Lv. 2-A  Fl. 73
9801,Catipari/Mamoria,Pauini                                  ,AM,"1,150,443,509",Regularizada,Tradicionalmente ocupada,9/23/1986,"Portaria nº 1481, de 23 de setembro de 1986",11/8/1991,"Despacho nº 37, de 08 de novembro de 1991",5/28/1992,"Portaria Declaratória nº 263, de 28 de mario de 1992",11/3/1997,Decreto de 3 de novembro de 1997,5/17/1999,Matr. 279  Lv. 2-A  Fl. 88/88V
60701,Caxixó,"Pompéu, Martinho Campos",MG,5411,Delimitada,Tradicionalmente ocupada,5/7/2012,"Portaria nº 546, de 7 de maio de 2012",3/22/2013,"Despacho nº 269, de 22 de Maço de 2013",,,,,,
67701,Cerco Grande,Guaraqueçaba                            ,PR,0,Em Estudo,Tradicionalmente ocupada,4/14/2010,"Portaria nº 528, de 14 de abril de 2010",,,,,,,,
9901,Cerrito,Eldorado                                ,MS,"19,509,806",Regularizada,Tradicionalmente ocupada,,,8/21/1991,"Despacho nº 05, de 21 de Agosto de 1991",10/23/1991,"Portaria Declaratória nº 545, de 23 de Outubro de 1991",5/21/1992,Decreto de 21 de maio de 1992,12/22/2005,EPRD Matr. 4007
10001,Chão Preto,Campinápolis                            ,MT,"127,418,456",Regularizada,Tradicionalmente ocupada,3/26/1996,"Portaria nº 107, de 26 de março de 1996",8/29/1997,"Despacho nº 50, de 29 de agosto de 1997",6/25/1998,"Portaria nº 453, de 25 de junho de 1998",4/30/2001,Decreto de 30 de abril de 2001,4/1/2002,Matr. 12.542  Lv. 2RG  Fl. 001
73707,Cinta Vermelha Jundiba,Araçuaí                                 ,MG,0,Encaminhada RI,Reserva Indígena,12/4/2012,"Portaria nº 1520, de 4 de dezembro de 2012",,,,,,,,
10101,Coata-Laranjal,Borba                                   ,AM,"11,532,101,124",Regularizada,Tradicionalmente ocupada,10/2/1997,"Portaria nº 920, de 02 de outubro de 1997",4/23/1999,"Despacho nº 17, de 23 de abril de 1999",10/7/1999,"Portaria nº 561, de 07 de outubro de 1999",4/19/2004,Decreto de 19 de abril de 2004,5/26/2004,"Matr. 1.424, Lv. 2-G, Fl. 59"
59401,Cobra Grande,Santarém                                ,PA,8906,Delimitada,Tradicionalmente ocupada,7/4/2008,"Portaria n° 774, de 4 de julho de 2008",9/25/2015,"Despacho nº 55, de 25 de setembro de 2015",,,,,,
10202,Comboios,Aracruz                                 ,ES,"38,721,411",Regularizada,Tradicionalmente ocupada,8/30/1994,"Portaria nº 783, de 30 de Agosto de 1994",12/27/1996,"Despacho nº 40, de 27 de Dezembro de 1996",6/29/1983,"Portaria nº 1523, de 29 de Junho de 1983",8/9/1983,"Decreto nº 88601, de 09 de Agosto de 1983",8/19/2014,"Matr. 3.239, Lv. 2-RG"
65101,Comexatibá,Prado,BA,"28,077,301",Delimitada,Tradicionalmente ocupada,3/18/2011,"Portaria nº 365, de 18 de março de 2011",7/22/2015,"Despacho nº 42, de 22 de julho de 2015",,,,,,
10301,Coroa Vermelha,"Porto Seguro, Santa Cruz Cabrália                          ",BA,"14,939,941",Regularizada,Tradicionalmente ocupada,8/8/1995,"Portaria nº 860, de 08 de agosto de 1995",1/15/1997,"Despacho nº 4, de 15 de janeiro de 1997",10/14/1997,"Portaria nº 1042, de 14 de outubro de 1997",7/9/1998,Decreto de 9 de julho de 2000,6/10/1999,Matr. 20.188  Lv. 2-RG  Fl. 001
10302,Coroa Vermelha,"Porto Seguro, Santa Cruz Cabrália                          ",BA,0,Em Estudo,Tradicionalmente ocupada,11/5/2007,"Portaria n° 1082, de 5 de novembro de 2007",,,,,,,,
72201,Coroa Vermelha - Gleba C,Porto Seguro                            ,BA,"2299,06",Encaminhada RI,Reserva Indígena,,,,,,,,,,
10401,Córrego João Pereira,"Acarau, Itarema                                 ",CE,"31,623,901",Regularizada,Tradicionalmente ocupada,1/13/1999,"Portaria nº 10, de 13 de janeiro de 1999",7/3/2000,"Despacho nº 35, de 03 de julho de 2000",4/20/2001,"Portaria nº 370, de 23 de abril de 2001",5/5/2003,Decreto de 05 de maio de 2003,2/24/2006,"Matr. 3.385, Lv. 2-N, Fl. 154"
59601,Cué Cué/ Marabitanas,São Gabriel da Cachoeira                ,AM,808645,Declarada,Tradicionalmente ocupada,6/11/2010,"Portaria nº 9, de 11 de junho de 2010",12/16/2011,"Despacho nº 595, de 16 de dezembro de 2011",4/19/2013,"Portaria nº 1703, de 19 de abril de 2013",,,,
10601,Cuia,Autazes                                 ,AM,"13,223,875",Regularizada,Tradicionalmente ocupada,11/20/2012,Portaria Migração,,,,,10/29/1991,"Decreto nº 309, de 29 de outubro de 1991",2/25/1992,Matr. 531  Lv. 2-B  Fl. 191
10701,Cuiu-Cuiu,Maraã                                   ,AM,"364,509,765",Regularizada,Tradicionalmente ocupada,8/18/1994,"Portaria nº 745, de 18 de agosto de 1994",5/19/1998,"Despacho nº 22, de 23 de abril de 1998",12/11/1998,"Portaria nº 817, de 11 de dezembro de 1998",6/23/2003,Decreto de 23 de junho de 2003,3/11/2004,"Matr. 181, Lv. 2-A/RG, Fl. 172"
10801,Cunhã-Sapucaia,"Autazes, Borba                              ",AM,"4,714,505,393",Regularizada,Tradicionalmente ocupada,1/28/1997,"Portaria nº 78, de 28 de janeiro de 1997",1/28/2002,"Despacho nº 06, de 28 de janeiro de 2002",12/4/2002,"Portaria nº 1760, de 04 de dezembro de 2002",11/1/2006,Decreto de 1° de novembro de 2006,12/21/2011,"Av.1-1561, Lv G, Fl. 002vº"
10901,Deni,"Lábrea, Pauini, Tapaua, Itamarati                       ",AM,"1,531,303,499",Regularizada,Tradicionalmente ocupada,1/7/1985,"Portaria nº 1813, de 7 de janeiro de 1985",2/19/2001,Despacho do Presidente nº 18,10/16/2001,"Portaria N° 952, de 16 de outubro de 2001",10/27/2004,Decreto de 27 de outubro de 2004,10/18/2006,"Matr. 308, Lv. 2-A, Fl. 118"
11001,Diahui,Humaitá                                 ,AM,"47,354,603",Regularizada,Tradicionalmente ocupada,9/1/1999,"Portaria nº 742, de 1º de setembro de 1999",4/24/2000,"Despacho nº 19, de 24 de abril de 2000",4/20/2001,"Portaria nº 367, de 20 de abril de 2001",10/27/2004,Decreto de 27 de outubro de 2004,4/25/2005,"Matr.1.618, Lv. 2-H, Fl. 180"
11101,Dourados,"Dourados, Itaporã",MS,"34,745,957",Regularizada,Tradicionalmente ocupada,,,,,,,,,,
67101,Dourados-Amambaipeguá I,"Amambai, Dourados, Naviraí",MS,0,Em Estudo,Tradicionalmente ocupada,12/7/2012,"Portaria nº 1567, de 7 de dezembro de 2012",,,,,,,,
73729,Dourados-Amambaipeguá II,"Amambai, Dourados, Naviraí, Caarapó, Juti, Laguna Carapã",MS,0,Em Estudo,Tradicionalmente ocupada,,,,,,,,,,
73734,Dourados-Amambaipeguá III,"Dourados, Caarapó",MS,0,Em Estudo,Tradicionalmente ocupada,,,,,,,,,,
73738,Dourados-Amambaipeguá IV,Dourados,MS,0,Em Estudo,Tradicionalmente ocupada,,,,,,,,,,
11201,Enawenê-Nawê,"Comodoro,Juina, Sapezal ",MT,"7,420,886,783",Regularizada,Tradicionalmente ocupada,,,,,9/13/1991,PD 464 de 13/09/91,10/2/1996,Decreto de 2 de outubro de 1996,3/19/1998,Matr. 15.135  Lv. 2-RG  Fl. 001
11202,Enawenê-Nawê,"Comodoro,Juina, Sapezal ",MT,0,Em Estudo,Tradicionalmente ocupada,7/25/2008,Portaria n° 859/PRES/08,,,,,,,,
11301,Entre Serras,"Tacaratu, Jatoba, Petrolandia                       ",PE,"75,500,875",Regularizada,Tradicionalmente ocupada,11/20/2012,Portaria Migração,8/14/2002,"Despacho nº 108, de 14 de agosto de 2002",9/21/2004,"Portaria n° 2579, de 21 de setembro de 2004",12/19/2006,Decreto de 19 de dezembro de 2006,5/24/2007,"Matr. 806, Lv. 2-F,  Fls. 81v/83v (172,9285 ha - Jatobá)."
11401,Erikpatsá,Brasnorte                               ,MT,"79,934,801",Regularizada,Tradicionalmente ocupada,,,,,,,12/24/1991,"Decreto nº 398, de 24 de dezembro de 1991",8/21/2012,"Matrícula 3.367, Livro 2-Q/RG"
11501,Escondido,Cotriguaçu                              ,MT,"168,938,468",Regularizada,Tradicionalmente ocupada,,,,,11/1/1996,PD 668 de 01/11/96,9/8/1998,Decreto de 8 de setembro de 1998,3/15/1999,Matr. 58.626  Lv. 2-JZ  Fl. 048
68001,Escrivão,Aveiro                                  ,PA,0,Em Estudo,Tradicionalmente ocupada,7/4/2008,"Portaria n° 773, de 4 de julho de 2008",,,,,,,,
11601,Espírito Santo,Jutaí                                   ,AM,"338,490,871",Regularizada,Tradicionalmente ocupada,5/5/1997,"Portaria nº 431, de 5 de maio de 1997",4/14/1999,DOU  ,10/8/1999,PD  560,4/19/2005,Decreto de 19 de abril de 2005,5/25/2005,"Matr. 599, Lv. 2-2, Fl. 169"
11801,Estação Parecis,Diamantino                              ,MT,2170,Delimitada,Tradicionalmente ocupada,11/21/2005,"Portaria n° 1358, de 21 de novembro de 2005",9/28/2010,"Despacho nº 50, de 28 de setembro de 2010",,,,,,
73704,Estiva,Viamão                                  ,RS,0,Em Estudo,Tradicionalmente ocupada,11/14/2012,"Portaria nº 1426, de 14 de novembro de 2012",,,,,,,,
11901,Estivadinho,Tangará da Serra                        ,MT,"20,319,414",Regularizada,Tradicionalmente ocupada,,,,,5/28/1992,"Portaria Declaratória nº 248, de 28/05/92",8/12/1993,Decreto de 12 de agosto de 1993,9/20/1993,Matr. 10.512  Lv. 2-RG  Fl. 001
72401,Estrada do Mar,Osório                                  ,RS,45,Regularizada,Reserva Indígena,,,,,,,,,,
12001,Estrela da Paz,Jutaí                                   ,AM,"128,764,893",Regularizada,Tradicionalmente ocupada,,,,,,,7/3/1995,Decreto de 03 de julho de 1995,8/25/1995,Matr. 252  Lv. 2/A  Fl. 52
64101,Eterãirebere,"Novo São Joaquim, Santo Antonio do Leste, Campinapolis",MT,0,Em Estudo,Tradicionalmente ocupada,10/19/2000,"Portaria n° 1086, de 19 de outubro de 2000",,,,,,,,
12101,Évare I,"São Paulo de Olivença, Santo Antonio do Iça, Tabatinga",AM,"5,481,775,963",Regularizada,Tradicionalmente ocupada,11/20/2012,Portaria Migração,,,10/11/1991,PD 526 de 11/10/91,1/5/1996,Decreto de 05 de janeiro de 1996,6/20/1996,Matr. 541  Lv. 2-C-1  Fl. 61
12201,Évare II,São Paulo de Olivença                   ,AM,"1,762,057,183",Regularizada,Tradicionalmente ocupada,2/11/1984,"Portaria nº 1610/E, de 11 de fevereiro de 1984",,,10/11/1991,PD 524 de 11/10/91,1/5/1996,Decreto de 05 de janeiro de 1996,6/20/1996,Matr. 542  Lv. 2C-1  Fl. 62
12301,Faxinal,Cândido de Abreu                        ,PR,"20,438,948",Regularizada,Dominial Indígena,,,,,,,10/29/1991,"Decreto nº 252, de 29 de outubro de 1991",,
12401,Fazenda Bahiana,Camamu                                  ,BA,"304,56",Regularizada,Tradicionalmente ocupada,,,,,,,12/11/1998,Decreto de 11 de dezembro de 1998,,
73711,Fazenda Boa Vista - MG,Caldas                         ,MG,101,Encaminhada RI,Reserva Indígena,,,,,,,,,,
12501,Fazenda Canto,Palmeira dos Índios                     ,AL,"2,765,494",Regularizada,Reserva Indígena,,,,,,,,,,
62201,Fazenda Cristo Rei,Jatobá                                  ,PE,0,Encaminhada RI,Reserva Indígena,10/29/2008,"Portaria n° 1299, de 29 de outubro de 2008",,,,,,,,
12701,Fazenda Guarani,"Senhora do Porto, Carmesia",MG,"32,697,126",Regularizada,Tradicionalmente ocupada,,,,,,,10/29/1991,"Decreto nº270, de 29 de outubro de 1991",8/14/1997,Matr. 10.770  Lv. 2-RG  Fl. 001
73717,Fazenda Jenipapeiro,Santa Rita de Cassia,BA,0,Encaminhada RI,Reserva Indígena,7/17/2014,Instrução Executiva n. 251/DPT/2014,,,,,,,,
69801,Fazenda Remanso,Moquém de São Francisco                 ,BA,"3,369,518",Regularizada,Reserva Indígena,,,,,,,,,,
73742,Fazenda Sempre Verde,Muquem de São Francisco,BA,0,Encaminhada RI,Reserva Indígena,,,,,,,,,3/1/2016,"CDRU AV-2-2.736, Lv. 2-M"
69901,Fazenda Sítio,Quijingue                               ,BA,"4,098,834",Regularizada,Reserva Indígena,,,,,,,,,5/22/2014,Matr. 8.991
12801,Figueiras,"Barra do Bugres, Tangara da Serra",MT,"98,589,291",Regularizada,Tradicionalmente ocupada,,,,,5/28/1992,Portaria Declaratória nº 249 de 28/05/92,7/3/1995,Decreto de 03 de julho de 1995,11/13/1995,Matr. 16.986  Lv. 2-RG  Fl. 001
12901,Fortaleza do Castanho,Manaquiri                               ,AM,"27,561,622",Regularizada,Tradicionalmente ocupada,,,1/21/2000,"Despacho nº 2, de 21 de janeiro de 2000",8/4/2000,"Portaria nº 665, de 4 de agosto de 2000",5/5/2003,Decreto de 05 de maio de 2003,7/10/2003,"Matr. 013, Livro 2-RG, Ficha 13"
13001,Fortaleza do Patauá,Manacapuru                              ,AM,"7,435,829",Regularizada,Tradicionalmente ocupada,11/12/1993,PP  1134,1/25/1999,Despacho Pres.,8/13/1999,PD  408,4/19/2004,Decreto de 19 de abril de 2004,10/14/2004,"Matr. 572, Lv. 2-RG, Ficha 01"
13102,Fulni-ô,"Águas Belas, Itaiba",PE,0,Em Estudo,Tradicionalmente ocupada,8/26/2009,"Portaria nº 964, de 26 de agosto de 2009",,,,,,,,
13101,Fulni-ô,"Águas Belas, Itaiba",PE,"11505,71",Regularizada,Reserva Indígena,,,,,,,,,,
13201,Funil,Tocantínia                              ,TO,"157,037,974",Regularizada,Tradicionalmente ocupada,,,,,,,10/29/1991,"Decreto nº 269, de 29 de outubro de 1991",1/6/1992,Matr. 1.070  Lv. 2-D  Fl. 25
13301,Galibi,Oiapoque                                ,AP,"66,891,928",Regularizada,Tradicionalmente ocupada,,,,,,,11/22/1982,"Decreto nº 87844, de 22 de novembro de 1982",10/14/1983,"Matr. 01,  Lv. 02-RG,  Fl. 001"
73733,Garcete Kuê,Sete Quedas,MS,0,Em Estudo,Tradicionalmente ocupada,,,,,,,,,,
13401,Gavião,Careiro da Várzea                       ,AM,"86,118,548",Regularizada,Tradicionalmente ocupada,,,,,,,10/29/1991,"Decreto nº 305, de 29 de outubro de 1991",5/6/1997,Matr. 29  Lv. 2-RG  Fl. 001
13501,Geralda Toco Preto,"Arame, Itaipava do Grajaú ",MA,"185,062,081",Regularizada,Tradicionalmente ocupada,,,,,,,5/16/1994,Decreto de 16 de maio de 1994,1/22/1996,Matr. 6.350  Lv. 2-AH  Fl. 66
19402,Geripancó,Água Branca                             ,AL,200,Regularizada,Tradicionalmente ocupada,,,,,,,,,,
13602,Governador,Amarante do Maranhão,MA,0,Em Estudo,Tradicionalmente ocupada,6/19/2008,"Portaria n° 677, de 19 de junho de 2008",,,,,,,,
13601,Governador,Amarante do Maranhão                    ,MA,"416,437,567",Regularizada,Tradicionalmente ocupada,,,,,,,12/28/1982,"Decreto nº 88001, de 28 de dezembro de 1982",3/28/1983,Matr. 376  Lv. 2-D  Fl. 85
13701,Guaimbé,Laguna Carapã                           ,MS,"7,169,316",Regularizada,Tradicionalmente ocupada,,,,,,,4/24/1984,"Decreto nº 89580, de 24 de abril de 1984",5/28/1984,"Matr. 15.813,  Lv. 02-RG,  Fl. -"
66701,Guaivyry-Joyvy,Ponta Porã                              ,MS,0,Em Estudo,Tradicionalmente ocupada,9/28/2010,"Portaria nº 1419, de 28 de setembro de 2010",,,,,,,,
13801,Guajahã,Pauini                                  ,AM,"50,368,446",Regularizada,Tradicionalmente ocupada,,,,,10/11/1991,PD 523 de 11/10/91,12/11/1998,Decreto de 11 de dezembro de 1998,5/17/1999,Matr. 282  Lv. 2-A  Fl. 91/91V
52801,Guanabara,Benjamin Constant                       ,AM,15600,Declarada,Tradicionalmente ocupada,5/30/2003,"Portaria nº 499, de 30 de maio de 2003",4/19/2011,"Despacho nº 15, de 19 de abril de 2011",4/19/2013,"Portaria nº 1704, de 19 de abril de 2013",,,,
13901,Guapenu,Autazes                                 ,AM,0,Em Estudo,Tradicionalmente ocupada,4/9/1997,"Portaria nº 315, de 09 de Abril de 1997",,,,,,,,
14001,Guarani Araponga,Parati                                  ,RJ,"2,132,033",Regularizada,Tradicionalmente ocupada,,,,,7/14/1994,PD 494 de 14/07/94,7/3/1995,Decreto de 03 de julho de 1995,3/8/1996,Matr. 1.881  Lv. 2-A  Fl. 2466
